"site";"site_lot_nbab";"date";"semaine";"lot";"nbab";"num_jour";"pdsab_calc";"saison_exp";"cadre";"expo_lum";"expo_vent";"orientation";"type";"cause_mort";"race";"origine";"somme_precipitation_7";"somme_precipitation_3";"precipitation";"humidite";"temp_12h";"moy_temp";"precipitation_J1";"precipitation_J2";"precipitation_J3";"humidite_J1";"humidite_J2";"humidite_J3";"moy_temp_J1";"moy_temp_J2";"moy_temp_J3";"Departement";"Region";"meteo_km";"alt_meteo_m";"alt_site_m";"jour"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-08";"semaine1";"Lot 1";"300 Ab";0;122,0338983;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";14,9;12,8;0;89;20;20;6,3;6,5;1,5;89;95;96;22;19;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"0"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-09";"semaine1";"Lot 1";"300 Ab";1;118,3050847;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";16,6;8,1;1,8;99;15;15;0;6,3;6,5;89;89;95;20;22;19;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"1"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-10";"semaine1";"Lot 1";"300 Ab";2;114,5762712;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0,9;93;12;12;1,8;0;6,3;99;89;89;15;20;22;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"2"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-11";"semaine1";"Lot 1";"300 Ab";3;110,8474576;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";17;2,7;0;77;17;17;0,9;1,8;0;93;99;89;12;15;20;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"3"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-12";"semaine1";"Lot 1";"300 Ab";4;106,779661;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";45;30,4;29,5;99;11;11;0;0,9;1,8;77;93;99;17;12;15;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"4"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-13";"semaine1";"Lot 1";"300 Ab";5;104,4067797;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";43,2;34,2;4,7;87;9;9;29,5;0;0,9;99;77;93;11;17;12;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"5"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-14";"semaine1";"Lot 1";"300 Ab";6;103,0508475;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";56,9;54,2;20;99;7;7;4,7;29,5;0;87;99;77;9;11;17;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"6"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-15";"semaine1";"Lot 1";"300 Ab";7;100,6779661;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";62,6;30,4;5,7;98;11;11;20;4,7;29,5;99;87;99;7;9;11;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"7"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-23";"semaine2";"Lot 1";"300 Ab";15;62,71186441;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";15,8;13,6;5,2;90;21;18,33333333;3,9;4,5;1,4;94;92;90;18;18;18;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"14"
"Site Audureau";"Site Audureau - Lot 1 - 300 Ab";"2018-05-29";"semaine3";"Lot 1";"300 Ab";21;51,86440678;"printemps";"avec";"soleil";"abrite";"S";"ruche";"zootech";"Noire";"AA";31,1;19,8;11,7;97;19;17,33333333;2,5;5,6;0,1;93;96;89;19;20,33333333;21,33333333;"Hte Vienne";"Nouvelle Aquitaine";5,9;442;402;"21"
